ra,dec,pmra,pmdec
6.445128481082039507e+00,-7.225247598637298552e+01,5.710063267007694066e+00,-2.784166234284984220e+00
5.748439300483719094e+00,-7.201496956795858750e+01,5.460640739016189293e+00,-2.800765141894299592e+00
5.135897743441091734e+00,-7.197431674143440716e+01,5.797316561383060396e+00,-2.570944571141648538e+00
5.119715451405784989e+00,-7.229438639143359069e+01,5.339474972852227275e+00,-3.336102412764477165e+00
5.466266707290873939e+00,-7.234333350340111224e+01,5.550675856686322795e+00,-3.214289100017907241e+00
5.774780621347642473e+00,-7.200507443155069609e+01,5.863913203702319166e+00,-2.778608134149011200e+00
5.696844688422934233e+00,-7.226089004689517026e+01,5.107151440575341539e+00,-2.713091051546302257e+00
4.830945395430832789e+00,-7.190457626415454229e+01,5.365659571172403552e+00,-2.678763415931554537e+00
6.136690060176682060e+00,-7.215811472475868982e+01,5.561399173879564728e+00,-2.468804662502246394e+00
6.571283496434203286e+00,-7.160268470840077271e+01,5.313847856922629731e+00,-2.878975830971502781e+00
5.605951751142851158e+00,-7.222045438389450567e+01,5.588177903430649351e+00,-2.920879043325715685e+00
6.319862411855566187e+00,-7.208498960982551296e+01,5.966780150391000959e+00,-2.602999295810630720e+00
6.742445558894044844e+00,-7.228360005000466515e+01,5.653453685143481344e+00,-2.997454609743455123e+00
6.237938654001323080e+00,-7.183509588960237124e+01,5.471857104307645159e+00,-2.576875082365870817e+00
6.207640695031733102e+00,-7.212945571289067459e+01,5.547967794273409581e+00,-2.561941521800080057e+00
5.528576906674572911e+00,-7.209417157727001779e+01,5.722029238525009553e+00,-2.931222158101512321e+00
6.015941628630494975e+00,-7.235025590163159848e+01,5.328840953111031453e+00,-2.904841129126879640e+00
6.080941050041453799e+00,-7.218016550788090058e+01,5.058343264165841013e+00,-2.926263678691938708e+00
5.271130328043017066e+00,-7.211661727717171289e+01,5.010694758450549458e+00,-2.802032190850622939e+00
6.086125317351418040e+00,-7.220876374731057012e+01,5.071531008635367321e+00,-3.171979475966877793e+00
6.630754279145225638e+00,-7.207463526981591428e+01,5.345818986303357612e+00,-2.915633120041891679e+00
5.869722032491089259e+00,-7.184391201109755798e+01,5.576459905106638359e+00,-2.990991074414363737e+00
5.242003047475175315e+00,-7.216503307841212234e+01,5.120943834381794346e+00,-2.796710152089346479e+00
6.151657233479008724e+00,-7.209508770015644075e+01,5.614790103886244665e+00,-3.268263811212017700e+00
5.599501251551854075e+00,-7.187401908726457123e+01,5.444569631236576335e+00,-3.010899617401457284e+00
5.424772789952338137e+00,-7.220786175791484141e+01,5.008737068375264556e+00,-2.868306920871343202e+00
5.521748028578141287e+00,-7.222932544809313526e+01,5.777161631735648228e+00,-2.863451600360427118e+00
6.457380011987953417e+00,-7.218871637764497962e+01,5.410581338796842665e+00,-2.904824779594182171e+00
6.281298564904759019e+00,-7.215713653393680715e+01,5.420959164606077962e+00,-2.909035929857199942e+00
5.433479599809656335e+00,-7.196950168513906476e+01,5.087019392105726290e+00,-3.057544582921736254e+00
5.466578620065830840e+00,-7.191862603738421456e+01,5.285969043016339519e+00,-3.262232173420513526e+00
6.049982452052278248e+00,-7.209915471654615260e+01,5.643519874242188372e+00,-2.588205673936617490e+00
6.226156729627489561e+00,-7.206163286082492903e+01,5.549065644402697117e+00,-2.913959858815614368e+00
5.680512353530779102e+00,-7.186528811272405903e+01,5.591078811837271623e+00,-2.917087674763932714e+00
5.151100972860465532e+00,-7.208645444848924910e+01,5.509631350142950801e+00,-2.607218781298264343e+00
4.895906422517658285e+00,-7.242412047222588001e+01,5.586803430148606253e+00,-2.980253601904890637e+00
5.214164057396629914e+00,-7.203919616801137238e+01,5.389480529684057331e+00,-2.829722202532499953e+00
7.319431499167484034e+00,-7.225983159452292170e+01,5.573638690636803616e+00,-2.869629222085062548e+00
5.691935041864153888e+00,-7.209757874020095869e+01,5.642549782160663163e+00,-2.947907395726882207e+00
5.264812934115189691e+00,-7.214782347213295566e+01,5.296196835564185079e+00,-2.944691834700222888e+00
6.073400189598872956e+00,-7.229086612039834847e+01,5.495544044178760856e+00,-2.919909272278160994e+00
6.301986890886183801e+00,-7.200311012987548054e+01,5.521139134730424836e+00,-3.319010029549491314e+00
6.809382133085408739e+00,-7.216610704038147617e+01,5.485449172849607535e+00,-2.877508931063398112e+00
6.750095693668762387e+00,-7.201546205423437641e+01,5.505894653962452701e+00,-2.619373851406987530e+00
5.270633664656537931e+00,-7.224215824353670712e+01,5.172244398084048456e+00,-2.797898827234002184e+00
6.234916815531745371e+00,-7.214510527402900664e+01,6.012292291427691282e+00,-3.195290810595642128e+00
6.724667544471039093e+00,-7.210484872359914732e+01,5.498329545386608785e+00,-2.678102877281459016e+00
5.188183170619019791e+00,-7.205139920342665505e+01,5.271780603106482666e+00,-3.059921726912559592e+00
5.958034128106101335e+00,-7.184250309907443466e+01,5.279511218108700277e+00,-3.151259835108854102e+00
5.798279341872217607e+00,-7.211368448479815640e+01,4.824987377992934867e+00,-2.729378587064684503e+00
6.385061711378697602e+00,-7.209931591456101785e+01,5.327925838357022492e+00,-2.935460248496567726e+00
5.953708722387900387e+00,-7.211077725428229712e+01,5.748492041367518013e+00,-2.597261750605291297e+00
5.888600405571215113e+00,-7.210839785267863533e+01,5.901415967602922308e+00,-2.948092468543288103e+00
6.751805397728809943e+00,-7.215695028914733200e+01,5.366196112556945508e+00,-2.886364379398481006e+00
6.287958114094766238e+00,-7.214720828078425541e+01,5.643589952702983581e+00,-2.845756640866754061e+00
8.035365913756338685e+00,-7.237340912480961208e+01,5.742297305514166617e+00,-2.583693813081434421e+00
5.562894885133139233e+00,-7.219181836048933576e+01,5.524286526139015052e+00,-3.301862606042437420e+00
5.797457430258160294e+00,-7.170462798191663012e+01,5.508682030879313629e+00,-3.328808333262150310e+00
5.409161275613508124e+00,-7.210812109335876130e+01,5.415279663453438808e+00,-2.848283987379520266e+00
5.332159693695563973e+00,-7.202696184071345442e+01,5.595297601922453623e+00,-2.702685414260930230e+00
6.467793560340569847e+00,-7.236508028051159158e+01,5.712222271770807325e+00,-2.977193151796664772e+00
6.129371083367807671e+00,-7.237260961940265247e+01,5.732013336921765401e+00,-2.740812433248597024e+00
5.766821206144385314e+00,-7.216937799866785497e+01,4.919391978383527153e+00,-3.039403659340261576e+00
5.640981570075770613e+00,-7.207299798909680533e+01,5.400765530083196708e+00,-2.721747744654634538e+00
6.214424001374196038e+00,-7.200737140677065895e+01,5.316804230881087001e+00,-3.504209118203026385e+00
5.939811905789980528e+00,-7.210612460653061362e+01,4.740420351120282483e+00,-2.936915993921059176e+00
6.061572644119176623e+00,-7.223377953708796895e+01,5.796708616144316650e+00,-2.904931603771395032e+00
7.565050146965584865e+00,-7.205362654274382805e+01,5.800102920538120266e+00,-2.648101681345856662e+00
7.331303504455926934e+00,-7.180414224674545665e+01,5.635160923657715593e+00,-2.653503795751856575e+00
7.165930903351846126e+00,-7.164068131396824413e+01,5.583792223823526690e+00,-2.782503505389882115e+00
6.591372333596226873e+00,-7.216998705399240066e+01,5.952329335877960759e+00,-2.920091714773149771e+00
6.363163771795090184e+00,-7.203879207847786859e+01,5.104859512206944672e+00,-3.168991167146709476e+00
6.968192837832289044e+00,-7.218152478958963059e+01,5.840112770492743799e+00,-3.016755762879741898e+00
6.650150845087681617e+00,-7.196680908393952336e+01,5.403204503144498183e+00,-2.569703291497772657e+00
5.186434241531643785e+00,-7.233771033313750820e+01,5.613589768203695485e+00,-2.894225803385668705e+00
5.784343749799977452e+00,-7.228168538172090507e+01,5.886119546036403527e+00,-3.204719962342212014e+00
5.856655055805070731e+00,-7.209263012336580800e+01,5.984439048451069887e+00,-3.030763829304012891e+00
6.643665293693658214e+00,-7.219980308059341212e+01,5.662904733231457044e+00,-3.137523943023788231e+00
5.544138288559205208e+00,-7.202084844059459101e+01,5.775468760742455743e+00,-2.752381283580896287e+00
6.400914661123094263e+00,-7.210544493242147723e+01,5.350652228088742746e+00,-3.165744417680809164e+00
6.254443296675866293e+00,-7.234771628671859389e+01,5.513996121562790620e+00,-3.239641875620038469e+00
5.575584826562100638e+00,-7.208435520287039822e+01,5.785285344310167055e+00,-2.705593396747814960e+00
5.127401551811113123e+00,-7.220296584355865832e+01,5.166979996248570295e+00,-2.896426539337518591e+00
6.561210914958451212e+00,-7.194850650149157900e+01,5.669402671541426741e+00,-2.687939619345067310e+00
4.878180267206507104e+00,-7.198660901023271208e+01,5.390828268662033906e+00,-3.059600648173032234e+00
6.413996765894739660e+00,-7.206399484501785935e+01,5.797897524256661050e+00,-2.836702337469039215e+00
6.662289840830965204e+00,-7.202656041663577469e+01,5.416803891004034810e+00,-2.926548723392624840e+00
6.211870009614190558e+00,-7.221589311408733636e+01,5.582307005689018276e+00,-2.905464118372413473e+00
6.301279929318432949e+00,-7.209045161486196207e+01,5.872133288688378805e+00,-3.389886056463190300e+00
5.638356570149825941e+00,-7.216052016418524317e+01,5.577178212785459444e+00,-2.724500245220534467e+00
6.365167233564841709e+00,-7.211882425830430066e+01,5.744740438507092151e+00,-3.211549621544989908e+00
6.509317839018584628e+00,-7.226894785375148444e+01,5.521896364061177565e+00,-2.891394691979175757e+00
7.374191271952404314e+00,-7.196291724437854498e+01,5.394800865222356911e+00,-2.652978462952415128e+00
4.857902803120523139e+00,-7.206079117197504047e+01,5.534444058626454499e+00,-3.119980943782055149e+00
5.456663536805845816e+00,-7.201976273156739694e+01,5.690188262356979720e+00,-3.393093302152799140e+00
6.673440094183061611e+00,-7.224911926064790180e+01,5.813006105136346413e+00,-2.654634255093652584e+00
6.742532303196282939e+00,-7.203808859510886009e+01,5.357185712316745452e+00,-2.866336695479058783e+00
5.991772379622647193e+00,-7.194608244068278680e+01,5.468401196504059314e+00,-2.528744074487050408e+00
5.962134289801234388e+00,-7.185383493158801116e+01,5.548816283349792045e+00,-3.042699678815798059e+00
5.529429768455132788e+00,-7.211803827182986026e+01,5.226149124065369023e+00,-2.589493193175291808e+00
5.058439354390082521e+00,-7.222216956222824535e+01,5.595750812213213798e+00,-2.879518860634987298e+00
5.813054766727864475e+00,-7.199051617204303000e+01,5.646431712322578456e+00,-2.893399369814370292e+00
5.919830086555569970e+00,-7.155966580262467858e+01,5.490365263085289271e+00,-2.886130468703663077e+00
5.366603648689393324e+00,-7.207638635169132613e+01,5.523117953299473193e+00,-3.106014894914905344e+00
6.314909826598802844e+00,-7.212835523437750851e+01,5.749241530147885193e+00,-2.926133838243525354e+00
5.481886655299329725e+00,-7.205158164361270678e+01,5.317529064350320134e+00,-3.228725959508646604e+00
6.290409016777918971e+00,-7.192247762206559969e+01,5.499325705238623740e+00,-2.699346675426693043e+00
5.580689013810176569e+00,-7.196461734093566065e+01,5.594179856403320272e+00,-2.804338781934040625e+00
6.110181235187093662e+00,-7.238010658583446855e+01,5.930766355429193837e+00,-2.851215567530176465e+00
5.891970471738499526e+00,-7.197545047725820666e+01,5.653922290315726684e+00,-2.986812443532925965e+00
6.157367715995945900e+00,-7.211957651612854647e+01,5.370231623190272252e+00,-3.040815562395148497e+00
6.095674039671759026e+00,-7.166941223950810524e+01,5.634482621984401973e+00,-2.802550283756484184e+00
6.195696110770656517e+00,-7.220668552041802002e+01,5.631424891381545450e+00,-3.074776763606271057e+00
